Code,General Facilities,Facility Count,Room Type Number
72,"Toilet paper, Towels, Towels/Sheets (extra fee), Bathtub or shower, Slippers, Private bathroom, Toilet, Free toiletries, Bathrobe, Hairdryer, Shower, Linens, Wardrobe or closet, Mountain view, Garden view, View, Outdoor furniture, Outdoor dining area, Sun deck, Balcony, Terrace, Garden, Coffee machine, Dryer, Electric kettle, Refrigerator, Socket near the bed, Clothes rack, Aerobics, Happy hour, Themed dinners, Tennis equipment, Kids' club, Ping-pong, Pool table, Playground, Dining area, Sitting area, Desk, Streaming service (like Netflix), Flat-screen TV, Cable channels, Telephone, TV, Coffee house on site, FruitAdditional charge, Wine/ChampagneAdditional charge, Kid-friendly buffet, Kids' mealsAdditional charge, Special diet meals (on request), Snack bar, Breakfast in the room, Bar, Restaurant, Tea/Coffee maker, Valet parking, Electric vehicle charging station, Accessible parking, Public transit ticketsAdditional charge, Invoice provided, Lockers, Private check-in/out, Concierge, Baggage storage, Express check-in/out, 24-hour front desk, Baby safety gates, Outdoor play equipment for kids, Indoor play area, Board games/Puzzles, Baby safety gates, Babysitting/Child services, Daily housekeeping, Ironing serviceAdditional charge, Dry cleaningAdditional charge, LaundryAdditional charge, Fax/Photocopying, Business centerAdditional charge, Meeting/Banquet facilitiesAdditional charge, Fire extinguishers, CCTV outside property, CCTV in common areas, Smoke alarms, Security alarm, Key card access, Key access, 24-hour security, Safe, Shuttle serviceAdditional charge, Carbon monoxide detector, Grocery deliveriesAdditional charge, Convenience store on site, Shared lounge/TV area, Designated smoking area, Air conditioning, Smoke-free property, Wake-up service, Heating, Soundproof, Packed lunches, Carpeted, Soundproof rooms, Elevator, Fan, Family rooms, Ironing facilities, Airport shuttleAdditional charge, Non-smoking rooms, Iron, Wake-up service/Alarm clock, Room service, Upper floors accessible by elevator, Opening times, Open all year, All ages welcome, Heated pool, Pool/Beach towels, Pool cover, Beach chairs/Loungers, Seasonal(temporarily closed), All ages welcome, Pool is on rooftop, Infinity pool, Pool with view, Heated pool, Plunge pool, Pool/Beach towels, Pool bar, Beach chairs/Loungers, Beach umbrellas, Fenced pool, Seasonal(temporarily closed), All ages welcome, Pool with view, Heated pool, Pool/Beach towels, Pool bar, Pool cover, Beach chairs/Loungers, Beach umbrellas, Fenced pool, Kids' pool, Locker rooms, Yoga classes, Fitness, Full-body massage, Hand massage, Head massage, Foot massage, Neck massage, Back massage, Spa/Wellness packages, Steam room, Spa facilities, Beach umbrellas, Beach chairs/Loungers, Open-air bath, Hot tub/Jacuzzi, MassageAdditional charge, Spa, Fitness center, Sauna, English, Armenian, Russian",165,3
73,"Dining table, Cleaning products, Oven, Electric kettle, Kitchen, Washing machine, Refrigerator, Kitchenette, Wardrobe or closet, Toilet paper, Towels, Towels/Sheets (extra fee), Bathtub or shower, Slippers, Private bathroom, Toilet, Free toiletries, Hairdryer, Bathtub, Shower, Sofa, Sitting area, Flat-screen TV, TV, Drying rack for clothing, Clothes rack, Hardwood or parquet floors, Private entrance, Carpeted, Ironing facilities, Iron, Hot tub, Outdoor dining area, Patio, Balcony, Terrace, Garden, Mountain view, Garden view, View, Baby safety gates, Laundry, Smoke-free property, Heating, Family rooms, Non-smoking rooms, Armenian, Russian",48,1
74,"Street parking, Valet parking, Dining table, Cleaning products, Stovetop, Kitchenware, Electric kettle, Kitchen, Washing machine, Refrigerator, Linens, Wardrobe or closet, Walk-in closet, Extra long beds (> 6.5 ft), Toilet paper, Towels, Bathtub or shower, Slippers, Private bathroom, Toilet, Free toiletries, Hairdryer, Shower, Dining area, Sofa, Sitting area, Desk, Flat-screen TV, Cable channels, Satellite channels, TV, Socket near the bed, Sofa bed, Drying rack for clothing, Fold-up bed, Clothes rack, Hypoallergenic, Mosquito net, Hardwood or parquet floors, Soundproof, Private entrance, Carpeted, Ironing facilities, Iron, Entire unit wheelchair accessible, Upper floors accessible by elevator, Entire unit located on ground floor, Picnic area, Garden, Chapel/Shrine, Tea/Coffee maker, Cycling, Hiking, Fishing, Inner courtyard view, River view, City view, Landmark view, Mountain view, Garden view, View, Private apartment in building, Shuttle serviceAdditional charge, Airport shuttleAdditional charge, Child safety socket covers, Designated smoking area, Smoke-free property, Hypoallergenic room available, Heating, Soundproof rooms, Family rooms, English, Russian",73,1
75,"Dining table, Cleaning products, Stovetop, Oven, Kitchenware, Electric kettle, Kitchen, Washing machine, Refrigerator, Kitchenette, Linens, Wardrobe or closet, Extra long beds (> 6.5 ft), Toilet paper, Towels, Bidet, Towels/Sheets (extra fee), Guest bathroom, Bathtub or shower, Private bathroom, Toilet, Free toiletries, Hairdryer, Shower, Dining area, Sofa, Sitting area, Streaming service (like Netflix), Flat-screen TV, Cable channels, Satellite channels, TV, Pay-per-view channels, Socket near the bed, Sofa bed, Drying rack for clothing, Fold-up bed, Clothes rack, Hypoallergenic, Hardwood or parquet floors, Tile/Marble floor, Soundproof, Private entrance, Interconnecting room(s) available, Carpeted, Fan, Ironing facilities, Iron, Upper floors accessible by stairs only, Entire unit located on ground floor, Outdoor fireplace, Picnic area, Outdoor furniture, Outdoor dining area, Sun deck, Private beach area, Private pool, Patio, Balcony, Terrace, Garden, Opening times, Seasonal, All ages welcome, Pool with view, Pool/Beach towels, Pool cover, Beach chairs/Loungers, Beach umbrellas, Beach umbrellas, Beach chairs/Loungers, Bar, Tea/Coffee maker, Beach, Tennis equipment, Executive lounge access, Inner courtyard view, Landmark view, Mountain view, Garden view, View, Detached, Shuttle serviceAdditional charge, Car rental, Airport shuttleAdditional charge, Invoice provided, Lockers, Private check-in/out, ATM on site, Tour desk, Currency exchange, Express check-in/out, Outdoor play equipment for kids, Indoor play area, Board games/Puzzles, Convenience store on site, Designated smoking area, Air conditioning, Hypoallergenic room available, Heating, Soundproof rooms, Family rooms, Non-smoking rooms, Fire extinguishers, Smoke alarms, Key access, Carbon monoxide detector, English, Farsi, Armenian, Russian",111,1
76,"Towels, Slippers, Free toiletries, Shared bathroom, Wardrobe or closet, Mountain view, Garden view, Outdoor furniture, BBQ facilities, Balcony, Terrace, Garden, Shared kitchen, Clothes rack, Cooking class, Dining area, Fruit, Wine/ChampagneAdditional charge, Special diet meals (on request), Tea/Coffee maker, Invoice provided, Private check-in/out, Daily housekeeping, Fax/Photocopying, Meeting/Banquet facilities, Fire extinguishers, CCTV outside property, CCTV in common areas, Key access, Shuttle serviceAdditional charge, Grocery deliveriesAdditional charge, Convenience store on site, Designated smoking area, Air conditioning, Smoke-free property, Packed lunches, Family rooms, Airport shuttleAdditional charge, Non-smoking rooms, Room service, Beach umbrellas, English, Armenian, Russian",44,1
77,"Kitchen, Flat-screen TV, Heating, Terrace, Garden, View, English, French, Russian",9,1
78,"Dining table, Stovetop, Kitchenware, Electric kettle, Kitchen, Refrigerator, Kitchenette, Linens, Wardrobe or closet, Toilet paper, Towels, Bathtub or shower, Slippers, Private bathroom, Toilet, Free toiletries, Bathrobe, Hairdryer, Shower, Dining area, Sofa, Sitting area, Flat-screen TV, Satellite channels, TV, Socket near the bed, Sofa bed, Clothes rack, Hypoallergenic, Tile/Marble floor, Private entrance, Ironing facilities, Iron, Picnic area, Outdoor furniture, Outdoor dining area, Sun deck, Barbecue, BBQ facilities, Opening times, Seasonal, All ages welcome, Pool with view, Heated pool, Plunge pool, Shallow end, Pool/Beach towels, Beach chairs/Loungers, Beach umbrellas, Kids' pool, Beach umbrellas, Beach chairs/Loungers, Wine/ChampagneAdditional charge, Grocery deliveriesAdditional charge, Packed lunches, Restaurant, Tea/Coffee maker, Tour or class about local cultureAdditional charge, Walking toursAdditional charge, Horseback ridingAdditional chargeOff-site, HikingOff-site, FishingAdditional chargeOff-site, Wake-up service, Inner courtyard view, River view, Mountain view, Pool view, View, Shuttle serviceAdditional charge, Airport shuttleAdditional charge, Invoice provided, Private check-in/out, Baggage storage, Express check-in/out, 24-hour front desk, Board games/Puzzles, Board games/puzzles, Babysitting/Child servicesAdditional charge, Daily housekeeping, LaundryAdditional charge, Fax/Photocopying, Wheelchair accessible, Designated smoking area, Smoke-free property, Hypoallergenic room available, Heating, Soundproof rooms, Family rooms, Facilities for disabled guests, Non-smoking rooms, Fire extinguishers, CCTV outside property, CCTV in common areas, Smoke alarms, Security alarm, 24-hour security, Carbon monoxide detector, English, Russian",99,1
79,"Dining table, Cleaning products, Stovetop, Kitchenware, Electric kettle, Kitchen, Washing machine, Refrigerator, Kitchenette, Linens, Toilet paper, Towels, Bidet, Towels/Sheets (extra fee), Bathtub or shower, Slippers, Private bathroom, Toilet, Free toiletries, Hairdryer, Shower, Dining area, Sofa, Sitting area, Streaming service (like Netflix), Flat-screen TV, TV, Socket near the bed, Sofa bed, Hypoallergenic, Hardwood or parquet floors, Tile/Marble floor, Soundproof, Private entrance, Heating, Fan, Upper floors accessible by stairs only, Entire unit located on ground floor, Outdoor fireplace, Picnic area, Outdoor furniture, Outdoor dining area, Barbecue, BBQ facilities, Patio, Balcony, Terrace, Minibar, Tea/Coffee maker, Executive lounge access, Inner courtyard view, Landmark view, Mountain view, Garden view, View, Detached, Shuttle serviceAdditional charge, Car rental, Airport shuttleAdditional charge, Invoice provided, Private check-in/out, Tour desk, Currency exchange, Express check-in/out, Outdoor play equipment for kids, Designated smoking area, Smoke-free property, Hypoallergenic room available, Soundproof rooms, Family rooms, Non-smoking rooms, Key access, English, Russian",74,1
80,"Shared kitchen, Dining table, Toaster, Stovetop, Oven, Kitchenware, Electric kettle, Kitchen, Refrigerator, Kitchenette, Linens, Wardrobe or closet, Walk-in closet, Toilet paper, Towels, Towels/Sheets (extra fee), Bathtub or shower, Slippers, Private bathroom, Toilet, Free toiletries, Hairdryer, Bathtub, Shower, Dining area, Sofa, Sitting area, Desk, Streaming service (like Netflix), Flat-screen TV, Cable channels, Satellite channels, TV, Socket near the bed, Sofa bed, Drying rack for clothing, Fold-up bed, Clothes rack, Hardwood or parquet floors, Tile/Marble floor, Soundproof, Private entrance, Interconnecting room(s) available, Carpeted, Ironing facilities, Iron, Entire unit wheelchair accessible, Upper floors accessible by stairs only, Entire unit located on ground floor, Picnic area, Outdoor furniture, Outdoor dining area, Sun deck, Barbecue, BBQ facilities, Patio, Balcony, Terrace, Garden, Shared lounge/TV area, Chapel/Shrine, Grocery deliveries, Room service, Tea/Coffee maker, Walking tours, Horseback ridingOff-site, Hiking, FishingOff-site, Inner courtyard view, City view, Mountain view, Garden view, View, Private apartment in building, Semi-detached, Detached, Airport shuttleAdditional charge, Invoice provided, ATM on site, Express check-in/out, 24-hour front desk, Baby safety gates, Baby safety gates, Daily housekeepingAdditional charge, Convenience store on site, Designated smoking area, Smoke-free property, Heating, Family rooms, Non-smoking rooms, Russian",91,1
81,"Toilet paper, Towels, Towels/Sheets (extra fee), Bathtub or shower, Slippers, Private bathroom, Toilet, Free toiletries, Hairdryer, Linens, Wardrobe or closet, View, Picnic area, Outdoor furniture, Terrace, Garden, Electric kettle, Refrigerator, Socket near the bed, Clothes rack, Tour or class about local cultureAdditional charge, Flat-screen TV, Telephone, TV, Kid-friendly buffet, Bar, Restaurant, Tea/Coffee maker, Valet parking, Parking garage, Invoice provided, Private check-in/out, Baggage storage, Express check-in/out, 24-hour front desk, Outdoor play equipment for kids, Daily housekeeping, Ironing serviceAdditional charge, Dry cleaningAdditional charge, LaundryAdditional charge, Fire extinguishers, CCTV outside property, CCTV in common areas, Smoke alarms, Key access, 24-hour security, Designated smoking area, Smoke-free property, Wake-up service, Hardwood or parquet floors, Heating, Soundproof, Soundproof rooms, Family rooms, Non-smoking rooms, Room service, Upper floors accessible by stairs only, English, Armenian, Russian",60,8
82,"Kitchen, Washing machine, Private bathroom, Flat-screen TV, Balcony, Terrace, Garden, View, Heating, English, Russian",11,1
83,"Toilet paper, Towels, Bathtub or shower, Slippers, Private bathroom, Toilet, Free toiletries, Hairdryer, Bathtub, Shower, Wardrobe or closet, Terrace, Garden, Electric kettle, Clothes rack, Cable channels, TV, Bar, Family rooms, Non-smoking rooms, English, Armenian, Russian",23,6
84,"Toilet paper, Towels, Towels/Sheets (extra fee), Slippers, Free toiletries, Hairdryer, Linens, Inner courtyard view, Garden, Shared kitchen, Electric kettle, Clothes rack, Hiking, Fishing, Daily housekeepingAdditional charge, Shared lounge/TV area, Ironing serviceAdditional charge, LaundryAdditional charge, Hardwood or parquet floors, Heating, Soundproof, Carpeted, Family rooms, Non-smoking rooms, Iron, English, Russian",27,3
85,"Shared kitchen, Dining table, Cleaning products, Stovetop, Kitchenware, Electric kettle, Kitchen, Washing machine, Microwave, Refrigerator, Kitchenette, Linens, Wardrobe or closet, Toilet paper, Towels, Towels/Sheets (extra fee), Guest bathroom, Bathtub or shower, Slippers, Toilet, Free toiletries, Hairdryer, Shower, Sofa, Sitting area, Desk, Flat-screen TV, Cable channels, Satellite channels, TV, Socket near the bed, Sofa bed, Drying rack for clothing, Clothes rack, Hardwood or parquet floors, Soundproof, Private entrance, Fan, Ironing facilities, Iron, Upper floors accessible by stairs only, Outdoor fireplace, Picnic area, Outdoor furniture, Outdoor dining area, Sun deck, Barbecue, Private pool, BBQ facilities, Balcony, Terrace, Garden, Chapel/Shrine, Kids' pool, Beach umbrellasAdditional charge, Open-air bath, Grocery deliveriesAdditional charge, Tea/Coffee maker, AerobicsAdditional chargeOff-site, ArcheryAdditional chargeOff-site, Live sports events (broadcast), Live music/PerformanceAdditional chargeOff-site, Cooking classAdditional chargeOff-site, Tour or class about local cultureAdditional charge, Happy hourAdditional charge, Bike toursAdditional charge, Walking toursAdditional charge, Mini golfAdditional charge, RacquetballAdditional chargeOff-site, Horseback ridingAdditional chargeOff-site, BowlingAdditional chargeOff-site, CyclingOff-site, HikingAdditional chargeOff-site, CanoeingAdditional chargeOff-site, DartsAdditional charge, Ping-pongAdditional charge, Pool tableAdditional charge, FishingAdditional chargeOff-site, Tennis courtAdditional chargeOff-site, Inner courtyard view, City view, Mountain view, Pool view, Garden view, View, Detached, Bicycle rentalAdditional charge, Shuttle serviceAdditional charge, Public transit ticketsAdditional charge, Car rental, Airport shuttleAdditional charge, Lockers, Private check-in/out, Baggage storage, Tour desk, Express check-in/out, Outdoor play equipment for kids, Indoor play area, Kids' club, Karaoke, Playground, Dry cleaningAdditional charge, LaundryAdditional charge, Designated smoking area, Air conditioning, Smoke-free property, Heating, Soundproof rooms, Family rooms, Non-smoking rooms, Fire extinguishers, CCTV outside property, CCTV in common areas, Smoke alarms, Security alarm, Key access, Safe, English, Russian",119,1
86,"Street parking, High chair, Dining table, Coffee machine, Cleaning products, Toaster, Stovetop, Oven, Dryer, Kitchenware, Electric kettle, Kitchen, Washing machine, Microwave, Refrigerator, Kitchenette, Linens, Wardrobe or closet, Alarm clock, Toilet paper, Towels, Additional bathroom, Guest bathroom, Bathtub or shower, Slippers, Toilet, Free toiletries, Shared bathroom, Bathrobe, Hairdryer, Shower, Dining area, Sofa, Fireplace, Sitting area, Flat-screen TV, Cable channels, Radio, Telephone, TV, Socket near the bed, Sofa bed, Drying rack for clothing, Fold-up bed, Clothes rack, Hardwood or parquet floors, Tile/Marble floor, Soundproof, Private entrance, Interconnecting room(s) available, Carpeted, Fan, Ironing facilities, Iron, Entire unit located on ground floor, Outdoor fireplace, Picnic area, Outdoor furniture, Outdoor dining area, Sun deck, Barbecue, BBQ facilities, Patio, Balcony, Terrace, Garden, Full-body massage, Hand massage, Head massage, Foot massage, Neck massage, Back massage, Beach umbrellas, MassageAdditional charge, Wine/ChampagneAdditional charge, Grocery deliveriesAdditional charge, Special diet meals (on request), Packed lunches, Breakfast in the room, Minibar, Tea/Coffee maker, HikingOff-site, Wake-up service, Wake-up service/Alarm clock, Inner courtyard view, City view, Landmark view, Mountain view, Garden view, View, Detached, Bicycle rentalAdditional charge, Shuttle serviceAdditional charge, Airport shuttleAdditional charge, Invoice provided, Private check-in/out, Express check-in/out, Strollers, Outdoor play equipment for kids, Indoor play area, Board games/Puzzles, Baby safety gates, Books, DVDs or music for children, Board games/puzzles, Playground, Babysitting/Child servicesAdditional charge, Daily housekeepingAdditional charge, Ironing serviceAdditional charge, Laundry, Air conditioning, Smoke-free property, Hypoallergenic room available, Heating, Soundproof rooms, Family rooms, Non-smoking rooms, Fire extinguishers, CCTV outside property, CCTV in common areas, Smoke alarms, Security alarm, Key access, 24-hour security, English, French, Russian",127,1
87,"Street parking, High chair, Dining table, Cleaning products, Stovetop, Kitchenware, Electric kettle, Kitchen, Microwave, Refrigerator, Kitchenette, Linens, Wardrobe or closet, Toilet paper, Towels, Bathtub or shower, Slippers, Private bathroom, Toilet, Free toiletries, Hairdryer, Bathtub, Shower, Dining area, Sofa, Sitting area, Flat-screen TV, Cable channels, Radio, Telephone, TV, Socket near the bed, Sofa bed, Drying rack for clothing, Fold-up bed, Clothes rack, Hypoallergenic, Hardwood or parquet floors, Soundproof, Private entrance, Interconnecting room(s) available, Fan, Iron, Entire unit located on ground floor, Picnic area, Outdoor furniture, Outdoor dining area, Barbecue, BBQ facilities, Patio, Balcony, Terrace, Garden, Kids' mealsAdditional charge, Grocery deliveriesAdditional charge, Packed lunches, Breakfast in the room, Room service, Tea/Coffee maker, Cooking classAdditional charge, Tour or class about local cultureAdditional charge, Themed dinnersAdditional charge, Bike toursAdditional charge, Walking toursAdditional charge, HikingOff-site, Inner courtyard view, Mountain view, Garden view, View, Detached, Shuttle serviceAdditional charge, Airport shuttleAdditional charge, Invoice provided, Express check-in/out, Strollers, Board games/Puzzles, Books, DVDs or music for children, Board games/puzzles, Ironing serviceAdditional charge, LaundryAdditional charge, Air conditioning, Smoke-free property, Hypoallergenic room available, Heating, Family rooms, Non-smoking rooms, Smoke alarms, Key access, English, Russian",91,1
88,"Kitchen, Washing machine, Flat-screen TV, Heating, Smoke-free property, English, Russian",7,1
89,"Dining table, Cleaning products, Oven, Kitchenware, Electric kettle, Kitchen, Washing machine, Microwave, Refrigerator, Kitchenette, Linens, Wardrobe or closet, Walk-in closet, Toilet paper, Towels, Guest bathroom, Bathtub or shower, Slippers, Toilet, Free toiletries, Hairdryer, Shower, Sofa, Sitting area, Flat-screen TV, Cable channels, TV, Socket near the bed, Sofa bed, Drying rack for clothing, Clothes rack, Soundproof, Heating, Ironing facilities, Iron, Tea/Coffee maker, Mountain view, View, Air conditioning, Smoke-free property, Russian",41,1
90,"Street parking, High chair, Dining table, Cleaning products, Toaster, Stovetop, Oven, Kitchenware, Electric kettle, Kitchen, Microwave, Refrigerator, Kitchenette, Wardrobe or closet, Toilet paper, Towels, Bathtub or shower, Slippers, Private bathroom, Toilet, Free toiletries, Hairdryer, Shower, Dining area, Sofa, Sitting area, Flat-screen TV, Cable channels, CD player, Radio, Telephone, TV, Socket near the bed, Sofa bed, Drying rack for clothing, Fold-up bed, Clothes rack, Hypoallergenic, Hardwood or parquet floors, Soundproof, Private entrance, Interconnecting room(s) available, Fan, Iron, Air conditioning, Picnic area, Outdoor furniture, Outdoor dining area, Barbecue, BBQ facilities, Balcony, Terrace, Garden, Grocery deliveriesAdditional charge, Tea/Coffee maker, Cooking classAdditional charge, Tour or class about local cultureAdditional charge, Themed dinnersAdditional charge, Bike toursAdditional charge, Walking toursAdditional charge, HikingOff-site, City view, Mountain view, Garden view, View, Detached, Bicycle rentalAdditional charge, Airport shuttleAdditional charge, Private check-in/out, Express check-in/out, Strollers, Board games/Puzzles, Board games/puzzles, Smoke-free property, Heating, Family rooms, Non-smoking rooms, Key access, English, Russian",80,1
91,"Kitchenware, Kitchen, Kitchenette, Wardrobe or closet, Walk-in closet, Toilet paper, Bathtub or shower, Slippers, Private bathroom, Toilet, Hairdryer, Shower, Sofa, Sitting area, Flat-screen TV, Satellite channels, Telephone, TV, Clothes rack, Private entrance, Carpeted, BBQ facilities, Balcony, Terrace, Garden, Seasonal, Suitable for kids, Plunge pool, Kids' pool, Open-air bath, FruitAdditional charge, Wine/ChampagneAdditional charge, Room service, Hiking, Ping-pong, Pool table, Inner courtyard view, Mountain view, Garden view, View, Detached, Airport shuttleAdditional charge, Express check-in/out, 24-hour front desk, Board games/Puzzles, Books, DVDs or music for children, Board games/puzzles, Playground, Daily housekeeping, Ironing serviceAdditional charge, Meeting/Banquet facilitiesAdditional charge, Smoke-free property, Heating, Family rooms, Non-smoking rooms, Smoke alarms, 24-hour security, English, Armenian, Russian",61,1
92,"Toilet paper, Towels, Additional bathroom, Towels/Sheets (extra fee), Guest bathroom, Bathtub or shower, Slippers, Private bathroom, Toilet, Free toiletries, Hairdryer, Shower, Wardrobe or closet, City view, Landmark view, Mountain view, Garden view, View, Outdoor fireplace, Picnic area, Outdoor furniture, BBQ facilities, Terrace, Garden, Shared kitchen, Cleaning products, Kitchenware, Electric kettle, Kitchen, Washing machine, Socket near the bed, Drying rack for clothing, Clothes rack, Bicycle rentalAdditional charge, Cooking class, Tour or class about local culture, Sitting area, FruitAdditional charge, Wine/ChampagneAdditional charge, Kids' meals, Parking garage, Shuttle serviceAdditional charge, Strollers, Shared lounge/TV area, Ironing serviceAdditional charge, LaundryAdditional charge, Babysitting/Child servicesAdditional charge, Airport shuttleAdditional charge, 24-hour front desk, Board games/Puzzles, Key access, Carbon monoxide detector, Hardwood or parquet floors, Heating, Soundproof, Carpeted, Family rooms, Ironing facilities, Non-smoking rooms, Iron, Beach chairs/Loungers, English, Russian",63,2
93,"Dining table, Coffee machine, Kitchen, Washing machine, Refrigerator, Linens, Toilet paper, Towels, Bidet, Towels/Sheets (extra fee), Bathtub or shower, Slippers, Private bathroom, Toilet, Free toiletries, Shower, Dining area, Flat-screen TV, Hot tub, Picnic area, Outdoor furniture, Outdoor dining area, BBQ facilities, Balcony, Terrace, Garden, Full-body massage, Neck massage, Back massage, Hot tub/Jacuzzi, Massage, Tea/Coffee maker, Tennis equipment, Ping-pong, Inner courtyard view, City view, Mountain view, Garden view, View, Detached, Airport shuttleAdditional charge, Invoice provided, 24-hour front desk, Board games/Puzzles, Board games/puzzles, Designated smoking area, Heating, Soundproof rooms, Fire extinguishers, CCTV outside property, CCTV in common areas, Smoke alarms, Carbon monoxide detector, English, Russian",55,1
94,"Toilet paper, Towels, Bidet, Toilet, Free toiletries, Hairdryer, Shower, Linens, Wardrobe or closet, Garden view, View, Garden, Smoke-free property, Heating, Non-smoking rooms, English, French, Russian",18,1
95,"Dining table, Stovetop, Kitchenware, Electric kettle, Kitchen, Microwave, Refrigerator, Toilet paper, Bathtub or shower, Slippers, Toilet, Free toiletries, Bathrobe, Hairdryer, Shower, Sofa, Flat-screen TV, Sofa bed, Fold-up bed, Clothes rack, Mosquito net, Iron, Outdoor fireplace, Picnic area, Outdoor dining area, Barbecue, Private pool, Terrace, Garden, Hot tub/Jacuzzi, Tea/Coffee maker, Mountain view, Garden view, View, Outdoor play equipment for kids, Designated smoking area, Heating, Russian",38,1
96,"Private bathroom, Terrace, Garden, Smoke-free property, Heating, Family rooms, Non-smoking rooms, English, French, Russian",10,4
97,"Kitchen, Washing machine, Kitchenette, Private bathroom, Flat-screen TV, Heating, Private pool, BBQ facilities, Balcony, Terrace, Garden, Seasonal, All ages welcome, Plunge pool, Garden view, View, Air conditioning, Family rooms, Non-smoking rooms, German, English, French, Russian",23,1
98,"Toilet paper, Towels, Bathtub or shower, Slippers, Private bathroom, Toilet, Free toiletries, Bathrobe, Hairdryer, Shower, Wardrobe or closet, Walk-in closet, Picnic area, Outdoor furniture, Sun deck, Terrace, Garden, Electric kettle, Refrigerator, Socket near the bed, Clothes rack, Flat-screen TV, Cable channels, Satellite channels, TV, Coffee house on site, FruitAdditional charge, Wine/ChampagneAdditional charge, Bar, Restaurant, Tea/Coffee maker, Street parking, Lockers, Private check-in/out, Concierge, Baggage storage, Express check-in/out, 24-hour front desk, Outdoor play equipment for kids, Board games/Puzzles, Daily housekeeping, Ironing serviceAdditional charge, Fire extinguishers, CCTV outside property, CCTV in common areas, Smoke alarms, Security alarm, Key access, 24-hour security, Shuttle serviceAdditional charge, Designated smoking area, Air conditioning, Smoke-free property, Mosquito net, Hardwood or parquet floors, Heating, Private entrance, Carpeted, Soundproof rooms, Family rooms, Airport shuttleAdditional charge, Non-smoking rooms, Room service, Upper floors accessible by stairs only, English, Armenian, Russian",67,2
99,"Toilet paper, Towels, Towels/Sheets (extra fee), Guest bathroom, Slippers, Shared toilet, Free toiletries, Bathrobe, Hairdryer, Shower, Linens, Wardrobe or closet, Extra long beds (> 6.5 ft), Inner courtyard view, City view, Garden view, Outdoor fireplace, Picnic area, Outdoor furniture, Outdoor dining area, Sun deck, BBQ facilitiesAdditional charge, Patio, Terrace, Garden, Shared kitchen, Electric kettle, Socket near the bed, Drying rack for clothing, Clothes rack, Aerobics, Live sports events (broadcast)Additional charge, Cooking classAdditional charge, Tour or class about local cultureAdditional charge, Happy hourAdditional charge, Themed dinnersAdditional charge, Walking tours, Movie nights, Badminton equipmentAdditional charge, Tennis equipmentAdditional charge, Horseback ridingAdditional chargeOff-site, HikingOff-site, Darts, Ping-pong, Playground, Game room, Desk, Coffee house on site, FruitAdditional charge, Wine/ChampagneAdditional charge, Kid-friendly buffet, Kids' mealsAdditional charge, Special diet meals (on request), Breakfast in the room, Bar, Restaurant, Tea/Coffee maker, Invoice provided, Private check-in/out, Baggage storageAdditional charge, Tour desk, Express check-in/out, 24-hour front desk, Outdoor play equipment for kids, Indoor play area, Board games/Puzzles, Babysitting/Child servicesAdditional charge, Daily housekeepingAdditional charge, Ironing serviceAdditional charge, Dry cleaningAdditional charge, LaundryAdditional charge, Meeting/Banquet facilities, Fire extinguishers, CCTV outside property, CCTV in common areas, Smoke alarms, Security alarm, Key access, 24-hour security, Shuttle serviceAdditional charge, Shared lounge/TV area, Hypoallergenic, Designated smoking area, Smoke-free property, Hypoallergenic room available, Hardwood or parquet floors, Heating, Soundproof, Private entrance, Packed lunches, Carpeted, Soundproof rooms, Family rooms, Ironing facilities, Airport shuttleAdditional charge, Non-smoking rooms, Iron, Room service, Upper floors accessible by stairs only, Yoga classes, Fitness, Massage chair, Full-body massage, Hand massage, Head massage, Foot massage, Neck massage, Back massage, Spa/Wellness packages, Foot bath, Spa facilities, Body treatments, Hair treatments, Makeup services, Waxing services, Facial treatments, Beauty services, Beach umbrellas, Beach chairs/Loungers, MassageAdditional charge, Armenian",121,6
100,"Street parking, Shared kitchen, Dining table, Coffee machine, Cleaning products, Toaster, Stovetop, Oven, Dryer, Kitchenware, Electric kettle, Kitchen, Washing machine, Microwave, Refrigerator, Kitchenette, Linens, Wardrobe or closet, Walk-in closet, Toilet paper, Towels, Guest bathroom, Bathtub or shower, Slippers, Shared toilet, Private bathroom, Toilet, Free toiletries, Bathrobe, Hairdryer, Shower, Dining area, Sofa, Fireplace, Sitting area, Desk, Flat-screen TV, Cable channels, Satellite channels, Video, CD player, DVD player, Radio, TV, Socket near the bed, Drying rack for clothing, Clothes rack, Mosquito net, Hardwood or parquet floors, Tile/Marble floor, Soundproof, Private entrance, Carpeted, Fan, Ironing facilities, Iron, Upper floors accessible by stairs only, Outdoor fireplace, Picnic area, Outdoor furniture, Outdoor dining area, Sun deck, Barbecue, Private pool, BBQ facilities, Patio, Balcony, Terrace, Garden, Shared lounge/TV area, Open all year, Open-air bath, Turkish/Steam Bath, Sauna, Grocery deliveries, Breakfast in the room, Room service, Tea/Coffee maker, Cycling, Hiking, Executive lounge access, Inner courtyard view, City view, Landmark view, Mountain view, Pool view, Garden view, View, Detached, Bicycle rentalAdditional charge, Shuttle serviceAdditional charge, Airport shuttleAdditional charge, Express check-in/out, 24-hour front desk, Baby safety gates, Daily housekeeping, Ironing serviceAdditional charge, LaundryAdditional charge, Designated smoking area, Heating, English, Armenian, Russian",103,1
